variable,n_train,n_test,R2,R2_ci_lo,R2_ci_hi,RMSE,RMSE_ci_lo,RMSE_ci_hi,nRMSE_pct,bias,bias_ci_lo,bias_ci_hi,bias_p_value,skill_score,p_vs_trivial,R2_kfold_mean,R2_kfold_std
LAI,80000,20000,0.7047,0.6980,0.7113,1.0834,1.0714,1.0977,13.7,0.0098,-0.0052,0.0248,0.202,0.7048,0.0000,0.6964,0.0050
Cab,80000,20000,0.8113,0.8063,0.8164,8.4669,8.3629,8.5670,11.3,0.0133,-0.1041,0.1306,0.824,0.8113,0.0000,0.8055,0.0071
fCover,80000,20000,0.8824,0.8786,0.8859,0.0787,0.0780,0.0796,8.4,0.0012,0.0001,0.0022,0.038,0.8823,0.0000,0.8753,0.0011
CCC,80000,20000,0.8173,0.8123,0.8222,50.6147,49.7010,51.3628,8.2,-0.8050,-1.5064,-0.1036,0.0245,0.8170,0.0000,0.8123,0.0038
CWC,80000,20000,0.8471,0.8427,0.8514,169.0308,165.7456,172.7412,4.6,0.9079,-1.4348,3.2506,0.447,0.8471,0.0000,0.8384,0.0042
