"zona","periodo","n","LAI_medio","LAI_norm_medio","LAI_max","IPP_A","IPP_B","IPP_C","IPP_D","prop_neg_A","IPP_consenso","concordancia_n","diagnostico","concordancia"
"hayedo_intermedio","2025",19,3.696,0.732,5.049,0.1408,0.1941,0.1213,0.0263,0.07,0.1206,"4/4","Infrautilizacion moderada","Alta"
"hayedo_remoto","2025",19,3.479,0.704,4.942,0.0763,0.1317,0.0783,-0.0033,0.21,0.0708,"3/4","Infrautilizacion leve","Baja"
"pasto_cercano","2025",19,1.75,0.581,3.014,-0.2141,-0.1468,-0.1158,-0.0503,0.79,-0.1318,"4/4","Sobrepastoreo moderado","Alta"
"pasto_intermedio","2025",19,1.665,0.588,2.83,-0.1991,-0.1328,-0.1035,-0.0334,0.86,-0.1172,"4/4","Sobrepastoreo moderado","Alta"
"pasto_remoto","2025",19,1.671,0.615,2.715,-0.1346,-0.0712,-0.0602,-0.0358,0.86,-0.0755,"4/4","Sobrepastoreo leve","Alta"
"hayedo_cercano","Global",116,2.889,0.723,4.69,0.0762,0.1106,0.0675,NA,0.24,0.0848,"3/3","Infrautilizacion leve","Alta"
"hayedo_intermedio","Global",116,3.3,0.721,5.195,0.0864,0.1209,0.0593,NA,0.18,0.0889,"3/3","Infrautilizacion leve","Alta"
"hayedo_remoto","Global",116,3.183,0.722,4.942,0.0744,0.1089,0.0682,NA,0.25,0.0838,"3/3","Infrautilizacion leve","Alta"
"pasto_cercano","Global",116,1.474,0.626,3.014,-0.1173,-0.0776,-0.0851,NA,0.72,-0.0933,"3/3","Sobrepastoreo leve","Alta"
"pasto_intermedio","Global",116,1.44,0.622,2.83,-0.1171,-0.0771,-0.0971,NA,0.75,-0.0971,"3/3","Sobrepastoreo leve","Alta"
"pasto_remoto","Global",116,1.455,0.658,2.715,-0.0378,0,-0.0413,NA,0.61,-0.0264,"2/3","Equilibrio pastoral","Baja"
